Average across indicators in percent,,,,,,,,,,,,,,,,,,
Data Point,Data for at least two years since 2015,,,,,,,,,,,,,,,,,
Nature,All,,,,,,,,,,,,,,,,,
Analysis Type,Compare countries across all goals,,,,,,,,,,,,,,,,,
Visualization Type,Country-goal matrix,,,,,,,,,,,,,,,,,
Country,World (total) by SDG regions,,,,,,,,,,,,,,,,,
Legend,NA - Not Applicable,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
184,Cook Islands,21.428571428571427 %,31.78571428571429 %,46.02564102564103 %,47 %,8.333333333333332 %,23.809523809523807 %,80 %,34.375 %,37.5 %,25.833333333333336 %,5.555555555555555 %,17.272727272727273 %,5 %,31.176470588235293 %,46.01190476190476 %,15.277777777777777 %,39.72222222222222 %
188,Costa Rica,66.54761904761905 %,52.827380952380956 %,69.61538461538463 %,62.33333333333333 %,33.33333333333333 %,80.80357142857143 %,100 %,82.29166666666666 %,79.6875 %,68.33333333333333 %,32.77777777777778 %,48.71212121212121 %,21.66666666666667 %,44.70588235294118 %,61.42857142857142 %,28.611111111111114 %,74.66049382716051 %
384,Côte d'Ivoire,31.190476190476197 %,56.785714285714285 %,73.07692307692307 %,63.23809523809524 %,29.166666666666668 %,77.15773809523809 %,100 %,69.79166666666666 %,54.6875 %,54.58333333333333 %,11.11111111111111 %,40 %,5 %,44.117647058823536 %,75.71428571428571 %,22.129629629629633 %,76.9753086419753 %
191,Croatia,41.66666666666667 %,50.74404761904761 %,70.83333333333333 %,49.47089947089947 %,22.22222222222222 %,68.36734693877553 %,80 %,75 %,83.92857142857143 %,50.92592592592592 %,22.22222222222222 %,55.07575757575758 %,5 %,54.117647058823536 %,61.42857142857142 %,23.13131313131313 %,44.93055555555556 %
192,Cuba,18.503401360544217 %,35.74404761904762 %,64.87179487179488 %,49.142857142857146 %,16.666666666666664 %,58.928571428571416 %,100 %,38.54166666666667 %,54.6875 %,30.833333333333336 %,18.478835978835978 %,29.090909090909093 %,7.666666666666666 %,41.76470588235294 %,50.71428571428571 %,16.38888888888889 %,47.12962962962963 %
531,Curaçao,10.95238095238095 %,4.166666666666666 %,5.384615384615384 %,0 %,2.7777777777777777 %,11.309523809523808 %,70 %,22.916666666666664 %,32.8125 %,12.5 %,0 %,31.818181818181817 %,0 %,11.76470588235294 %,22.916666666666664 %,0 %,25.27777777777778 %
196,Cyprus,43.31632653061225 %,41.99404761904762 %,70.64102564102565 %,59.73544973544974 %,33.33333333333333 %,59.863945578231295 %,80 %,66.66666666666666 %,83.92857142857143 %,59.25925925925925 %,20.84656084656085 %,64.62121212121212 %,9.666666666666664 %,54.70588235294118 %,61.42857142857142 %,31.464646464646467 %,38.68055555555556 %
203,Czechia,50.476190476190474 %,56.99404761904761 %,67.94871794871794 %,56.666666666666664 %,33.33333333333333 %,64.79591836734696 %,80 %,83.33333333333334 %,82.14285714285714 %,71.75925925925925 %,38.70370370370371 %,64.16666666666667 %,17 %,20.588235294117645 %,57.26190476190476 %,33.73737373737374 %,48.05555555555556 %
408,Democratic People's Republic of Korea,9.523809523809524 %,32.202380952380956 %,53.333333333333336 %,10 %,4.166666666666666 %,58.779761904761905 %,100 %,25 %,42.70833333333333 %,28.333333333333332 %,5.555555555555555 %,21.818181818181817 %,0 %,14.117647058823529 %,47.38095238095239 %,11.574074074074074 %,25.833333333333336 %
180,Democratic Republic of the Congo,19.28571428571429 %,54.702380952380956 %,64.1025641025641 %,34.19047619047619 %,4.166666666666666 %,76.63690476190477 %,100 %,45.83333333333333 %,48.4375 %,38.333333333333336 %,11.11111111111111 %,30.909090909090907 %,0 %,4.117647058823529 %,67.38095238095238 %,21.180555555555554 %,73.54938271604938 %
208,Denmark,47.023809523809526 %,50.74404761904761 %,71.79487179487178 %,55.820105820105816 %,22.22222222222222 %,63.52040816326531 %,80 %,79.16666666666666 %,83.92857142857143 %,63.42592592592592 %,36.11111111111111 %,61.13636363636363 %,17.22222222222222 %,45.88235294117647 %,61.42857142857142 %,23.38383838383838 %,48.05555555555556 %
262,Djibouti,13.333333333333334 %,48.45238095238095 %,42.43589743589743 %,32.047619047619044 %,4.166666666666666 %,42.70833333333333 %,100 %,41.66666666666667 %,32.8125 %,36.904761904761905 %,11.11111111111111 %,30.909090909090907 %,0 %,24.117647058823525 %,50.71428571428571 %,19.444444444444446 %,56.23456790123457 %
